NAME,ITER,FVAL
CVXQP1S,52,11590.718119428382
CVXQP2S,72,8120.940477271231
CVXQP3S,23,11943.432202309938
DPKLO1,1,0.37008670314274006
DUAL1,32,0.035012965733477355
DUAL2,5,0.03373367612271845
DUAL3,15,0.13575583686602352
DUAL4,14,0.7460908418021008
DUALC1,13,6155.2508294626805
DUALC2,19,3551.307692670613
DUALC5,4,427.23232677638845
DUALC8,6,18309.358832734146
GENHS28,1,0.9271736937663914
HS118,17,664.8204500000002
HS21,4,0.04
HS268,2,-14462.999999999885
HS35,2,-8.888888888888895
HS35MOD,2,-8.749999999929518
HS51,1,-6.000000000000006
HS52,1,-0.6733524355300862
HS53,1,-1.9069767441860492
HS76,6,-4.6818181818181825
LOTSCHD,5,2398.4158914488967
PRIMALC1,NAN,NAN
PRIMALC2,NAN,NAN
PRIMALC5,NAN,NAN
QADLITTL,NAN,NAN
QAFIRO,NAN,NAN
QBEACONF,150,300030.42032151774
QBRANDY,150,48364.63570557299
QISRAEL,NAN,NAN
QPCBLEND,59,-0.007842543074006081
QPCBOEI2,150,8265138.194475285
QPTEST,2,4.371875000000001
QRECIPE,NAN,NAN
QSC205,NAN,NAN
QSCAGR7,NAN,NAN
QSHARE2B,NAN,NAN
S268,2,-14462.999999999885
TAME,0,0.0000000000000000000000000000000030814879110195774
VALUES,150,513.2124097454691
ZECEVIC2,NAN,NAN
