NAME,ITER,FVAL
CVXQP1S,52,11590.71811942734
CVXQP2S,72,8120.940477263057
CVXQP3S,23,11943.43220230994
DPKLO1,1,0.3700867031427401
DUAL1,32,0.03501296573347741
DUAL2,5,0.03373367612271847
DUAL3,15,0.13575583686602352
DUAL4,14,0.7460908418021008
DUALC1,13,6155.250829462679
DUALC2,19,3551.3076926706167
DUALC5,4,427.2323267763887
DUALC8,6,18309.358832734157
GENHS28,1,0.927173693766391
HS118,17,664.82045
HS21,4,0.04
HS268,2,-14462.999999999874
HS35,2,-8.888888888888891
HS35MOD,2,-8.750000000524642
HS51,1,-6.000000000000006
HS52,1,-0.6733524355300862
HS53,1,-1.9069767441860488
HS76,6,-4.6818181818181825
LOTSCHD,5,2398.4158914488958
PRIMAL1,NAN,NAN
PRIMAL2,NAN,NAN
PRIMALC1,NAN,NAN
PRIMALC2,NAN,NAN
PRIMALC5,NAN,NAN
QADLITTL,NAN,NAN
QAFIRO,NAN,NAN
QBEACONF,150,300534.94363661634
QBRANDY,150,48323.36581343331
QISRAEL,NAN,NAN
QPCBLEND,59,-0.007842543073997782
QPCBOEI2,150,8264584.4966345355
QPTEST,2,4.371875000000003
QRECIPE,NAN,NAN
QSC205,NAN,NAN
QSCAGR7,150,37510002.16377965
QSHARE1B,150,82.9139115291981
QSHARE2B,NAN,NAN
S268,2,-14462.999999999874
TAME,0,0.00000000000000000000000000000007395570986446986
VALUES,150,513.2124063040632
ZECEVIC2,NAN,NAN
